,index,name_x,name_y,cardwin_x,w_x,turn_x,turn_y,winrates,winrates_x,winrates_y,combowin,meanturn
156,218529,Preparation,Malygos,177.0,247,2505,2505,0.716599190283,0.536412717457,0.694968553459,0.653501496159,10.1417004049
352,150509,Inner Fire,Faceless Shambler,167.0,254,1927,1927,0.657480314961,0.600804976217,0.569430158404,0.653263581622,7.58661417323
71,86578,Earthen Scales,Innervate,1219.0,2009,16618,16618,0.606769537083,0.578252427184,0.546037151111,0.653206808305,8.27177700348
161,51400,Cold Blood,Murloc Warleader,217.0,335,2204,2204,0.64776119403,0.585215921316,0.576294480351,0.652677723621,6.57910447761
333,133191,Grommash Hellscream,Tank Up!,231.0,356,5125,5125,0.648876404494,0.580487804878,0.582079829445,0.652521142359,14.3960674157
439,41059,Brann Bronzebeard,Ancient Shieldbearer,216.0,330,4140,4140,0.654545454545,0.553687160624,0.61597406425,0.651891616798,12.5454545455
56,151569,Innervate,Kun the Forgotten King,364.0,509,4199,4199,0.715127701375,0.546037151111,0.682754880694,0.651393484383,8.24950884086
408,200303,Murloc Warleader,Spikeridged Steed,197.0,322,2862,2862,0.611801242236,0.576294480351,0.554332352662,0.649779539074,8.88819875776
40,15239,Archmage Antonidas,Arcane Blast,301.0,487,5303,5303,0.618069815195,0.629129441097,0.513980548802,0.647834253453,10.8891170431
127,266856,Soul of the Forest,Power of the Wild,130.0,204,1586,1586,0.637254901961,0.621278941566,0.536883432869,0.647363852291,7.77450980392
44,195702,Moonfire,Swipe,799.0,1318,10560,10560,0.6062215478,0.592409007223,0.536432520015,0.645862725764,8.01213960546
81,215597,Power Overwhelming,Abusive Sergeant,373.0,595,4540,4540,0.626890756303,0.615089067412,0.534398473829,0.645618723324,7.63025210084
151,154161,Jade Blossom,Jade Behemoth,544.0,871,7752,7752,0.62456946039,0.572549779565,0.572892617828,0.644019849404,8.90011481056
436,258506,Silence,Inner Fire,407.0,672,5236,5236,0.605654761905,0.53006196617,0.600804976217,0.642801102804,7.79166666667
289,59366,Crystal Core,Glacial Shard,539.0,838,5390,5390,0.643198090692,0.652245862884,0.519293478261,0.641317255173,6.43198090692
337,135786,Harrison Jones,Tank Up!,151.0,247,3467,3467,0.611336032389,0.553320561941,0.582079829445,0.640856944245,14.036437247
88,123541,Gadgetzan Auctioneer,Aviana,208.0,272,2348,2348,0.764705882353,0.560079124114,0.719341563786,0.640832205697,8.63235294118
222,225839,Raging Worgen,Charge,418.0,571,5879,5879,0.732049036778,0.626035502959,0.617679558011,0.638225888912,10.295971979
441,145772,INFERNO!,Sunfury Protector,145.0,222,3041,3041,0.653153153153,0.68156424581,0.507706464228,0.635272946388,13.6981981982
69,20822,Aviana,Innervate,390.0,527,4501,4501,0.740037950664,0.719341563786,0.546037151111,0.633433433926,8.54079696395
204,123834,Gadgetzan Auctioneer,Jade Blossom,360.0,596,5222,5222,0.604026845638,0.560079124114,0.572549779565,0.633196172686,8.76174496644
354,155541,Jade Idol,Jade Spirit,1125.0,1770,14462,14462,0.635593220339,0.602094240838,0.561221302514,0.631784761364,8.17062146893
458,217859,Power of the Wild,Wisps of the Old Gods,181.0,285,2310,2310,0.635087719298,0.536883432869,0.629539951574,0.630748091987,8.10526315789
18,121597,Frostbolt,Archmage Antonidas,497.0,821,8996,8996,0.605359317905,0.512105542937,0.629129441097,0.630709708027,10.9573690621
10,15504,Archmage Antonidas,Time Warp,200.0,229,2947,2947,0.873362445415,0.629129441097,0.741357234315,0.627286290006,12.8689956332
57,97489,Excess Mana,Kun the Forgotten King,147.0,208,1884,1884,0.706730769231,0.55302428957,0.682754880694,0.626867232301,9.05769230769
198,102692,Fandral Staghelm,Excess Mana,398.0,661,6299,6299,0.602118003026,0.582997734709,0.55302428957,0.6246234988,9.52950075643
419,232211,Redemption,Mysterious Challenger,894.0,1397,9311,9311,0.639942734431,0.554626693572,0.618786857624,0.623077830656,6.6649964209
60,20858,Aviana,Moonfire,299.0,377,3557,3557,0.793103448276,0.719341563786,0.592409007223,0.621175358136,9.4350132626
20,146901,Ice Lance,Archmage Antonidas,199.0,322,3706,3706,0.61801242236,0.527849406911,0.629129441097,0.621115784067,11.5093167702
66,97543,Excess Mana,Moonfire,276.0,453,4185,4185,0.609271523179,0.55302428957,0.592409007223,0.62042008746,9.23841059603
360,155658,Jade Idol,Primordial Drake,300.0,475,4969,4969,0.631578947368,0.602094240838,0.565579167914,0.617713967219,10.4610526316
243,200916,Mysterious Challenger,Avenge,561.0,812,5451,5451,0.690886699507,0.618786857624,0.603090294544,0.615903315627,6.71305418719
240,200124,Murloc Warleader,Mark of the Lotus,161.0,261,1418,1418,0.616858237548,0.576294480351,0.581272970264,0.610555260111,5.43295019157
149,155533,Jade Idol,Jade Behemoth,1131.0,1784,16533,16533,0.633968609865,0.602094240838,0.572892617828,0.608642445931,9.26737668161
241,241322,Savage Roar,Mark of Y'Shaarj,221.0,365,2515,2515,0.605479452055,0.628395061728,0.526516561221,0.604324071644,6.8904109589
12,110986,Fireblast,Time Warp,145.0,220,2852,2852,0.659090909091,0.488393679586,0.741357234315,0.599012346224,12.9636363636
205,86583,Earthen Scales,Jade Blossom,409.0,681,6190,6190,0.600587371512,0.578252427184,0.572549779565,0.595553226436,9.08957415565
154,195598,Moonfire,Malygos,1461.0,1957,19083,19083,0.746550843127,0.592409007223,0.694968553459,0.595155117691,9.75114971896
157,151607,Innervate,Malygos,618.0,901,7888,7888,0.685904550499,0.546037151111,0.694968553459,0.591940144337,8.75471698113
51,181818,Malygos,Kun the Forgotten King,354.0,415,3921,3921,0.853012048193,0.694968553459,0.682754880694,0.586526444238,9.44819277108
463,74294,Direhorn Hatchling,Sulfuras,152.0,238,2625,2625,0.638655462185,0.553657630895,0.642728256947,0.584851886795,11.0294117647
153,260358,Sinister Strike,Malygos,479.0,597,6411,6411,0.802345058626,0.643956043956,0.694968553459,0.583796975215,10.7386934673
101,35317,Bloodlust,Flametongue Totem,609.0,801,7832,7832,0.760299625468,0.738046680263,0.580966242547,0.572768150783,9.77777777778
64,12207,Arcane Giant,Moonfire,509.0,844,6910,6910,0.60308056872,0.576627261074,0.592409007223,0.56841272992,8.18720379147
14,292293,Time Warp,Molten Reflection,885.0,1103,13859,13859,0.802357207616,0.741357234315,0.617294520548,0.561480324124,12.5648232094
341,151945,Innervate,Ultimate Infestation,1213.0,1901,15319,15319,0.638085218306,0.546037151111,0.66713454983,0.560548359208,8.05839032088
374,200930,Mysterious Challenger,Competitive Spirit,850.0,1241,8078,8078,0.684931506849,0.618786857624,0.633607622347,0.55788337161,6.50926672039
104,21254,Aya Blackpaw,Flametongue Totem,201.0,332,2969,2969,0.605421686747,0.596563432452,0.580966242547,0.557802267312,8.94277108434
385,279627,Sulfuras,Alley Armorsmith,182.0,299,3315,3315,0.608695652174,0.642728256947,0.550871596217,0.541849909964,11.0869565217
188,302725,Ultimate Infestation,Jade Idol,244.0,354,3346,3346,0.689265536723,0.66713454983,0.602094240838,0.53997614137,9.45197740113
239,241323,Savage Roar,Mark of the Lotus,322.0,514,3300,3300,0.626459143969,0.628395061728,0.581272970264,0.539449315333,6.42023346304
290,59474,Crystal Core,Stonetusk Boar,704.0,1120,7528,7528,0.628571428571,0.652245862884,0.562138475022,0.539035152295,6.72142857143
295,59506,Crystal Core,Youthful Brewmaster,133.0,221,1480,1480,0.601809954751,0.652245862884,0.541673489438,0.532612001607,6.69683257919
86,181688,Malygos,Aviana,418.0,492,4687,4687,0.849593495935,0.694968553459,0.719341563786,0.530310377414,9.52642276423
129,210198,Patches the Pirate,Bloodlust,253.0,381,3149,3149,0.664041994751,0.533454771637,0.738046680263,0.522719306117,8.26509186352
368,177608,Lord Jaraxxus,INFERNO!,329.0,468,6246,6246,0.702991452991,0.620764552563,0.68156424581,0.507757627307,13.3461538462
50,20837,Aviana,Kun the Forgotten King,587.0,725,6708,6708,0.809655172414,0.719341563786,0.682754880694,0.499891515165,9.2524137931
109,35359,Bloodlust,Jade Claws,208.0,320,3121,3121,0.65,0.738046680263,0.542612493535,0.48432514161,9.753125
